"pathway","pval","padj","log2err","ES","NES","size","adjPvalue"
"HALLMARK_E2F_TARGETS",2.48266844423556e-17,1.24133422211778e-15,1.07686819261983,-0.596027545896213,-2.28663898727927,200,"significant"
"HALLMARK_G2M_CHECKPOINT",3.18808202737969e-16,7.97020506844921e-15,1.03769615548758,-0.589091697535157,-2.25611620734872,197,"significant"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.47877901240101e-09,2.46463168733501e-08,0.788186810800237,0.407166048279812,2.01149515578333,199,"significant"
"HALLMARK_P53_PATHWAY",5.82064417482047e-09,7.27580521852558e-08,0.761460801445585,0.400926289386876,1.97666357609816,196,"significant"
"HALLMARK_PROTEIN_SECRETION",3.10881980502108e-07,3.10881980502108e-06,0.674962860011025,0.473898890633186,2.14288583689704,95,"significant"
"HALLMARK_KRAS_SIGNALING_DN",8.75795100388477e-06,6.25567928848912e-05,0.593325476396405,-0.466991631585443,-1.77517863833306,171,"significant"
"HALLMARK_UV_RESPONSE_UP",7.63935348945497e-06,6.25567928848912e-05,0.593325476396405,0.372749822068957,1.79670850094218,155,"significant"
"HALLMARK_ANDROGEN_RESPONSE",0.000105316921688749,0.000658230760554679,0.538434096309916,0.404695839173362,1.84090891151842,98,"significant"
"HALLMARK_APOPTOSIS",0.000247146232215795,0.00137303462342109,0.49849310876659,0.3389566546316,1.63382050579451,155,"significant"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.000298744846287342,0.00149372423143671,0.49849310876659,0.492503924975001,1.92985808954039,47,"significant"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.000807194759755097,0.00366906708979589,0.477270815362862,0.352638104893213,1.63324556055968,112,"significant"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00295039565688878,0.0122365942308642,0.431707695803346,0.278943307405591,1.36703733175681,188,"significant"
"HALLMARK_MITOTIC_SPINDLE",0.00342624638464198,0.0122365942308642,0.431707695803346,-0.381771974965345,-1.46211862064045,197,"significant"
"HALLMARK_SPERMATOGENESIS",0.00341504243289619,0.0122365942308642,0.431707695803346,-0.430740305878809,-1.55473403768446,109,"significant"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00555806196577975,0.0183444966035234,0.407017918923954,0.354970889574927,1.55348441326758,72,"significant"
"HALLMARK_KRAS_SIGNALING_UP",0.00587023891312748,0.0183444966035234,0.407017918923954,-0.381138220454844,-1.44810831110896,178,"significant"
"HALLMARK_XENOBIOTIC_METABOLISM",0.00883099480644002,0.0259735141365883,0.380730400722792,0.281383714764651,1.35788717062038,181,"significant"
"HALLMARK_HEME_METABOLISM",0.0113542470744484,0.0315395752068011,0.380730400722792,0.260777432703943,1.27801053591022,188,"significant"
"HALLMARK_COAGULATION",0.0520470747395342,0.136965986156669,0.321775918075361,0.272467675811601,1.26193572316885,112,"non-significant"
"HALLMARK_BILE_ACID_METABOLISM",0.0594901519837302,0.148725379959326,0.321775918075361,0.274816530646352,1.25224067049065,102,"non-significant"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0738890073753427,0.17592620803653,0.287805130535564,0.23559334965554,1.15870313454545,194,"non-significant"
"HALLMARK_ADIPOGENESIS",0.100604997038072,0.228647720541072,0.287805130535564,0.223673992359518,1.09614956423242,195,"non-significant"
"HALLMARK_GLYCOLYSIS",0.13955974687003,0.290749472645895,0.249246554383295,0.221763340017672,1.10184906544067,197,"non-significant"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.136638452237001,0.290749472645895,0.128142916898415,-0.364085085753573,-1.25923183668019,79,"non-significant"
"HALLMARK_ALLOGRAFT_REJECTION",0.195909580193757,0.365017711672561,0.096887770327544,-0.302372867203234,-1.14941214866822,171,"non-significant"
