TF	P_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	P_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	P_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	P_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	P_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	P_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	P_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k	E_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	E_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	E_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	E_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	E_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	E_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	E_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k	SE_by_ChipSeq_UPPP:site-vs-nosite:odds.ratio	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites	SE_by_ChipSeq_UPPP:site-vs-nosite:neg.log10.corr.significance	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-10k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-10k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.sites.shades-100k	SE_by_ChipSeq_UPPP:site-vs-nosite:num.not.sites.shades-100k	SE_by_ChipSeq_TUMOR:site-vs-nosite:odds.ratio	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites	SE_by_ChipSeq_TUMOR:site-vs-nosite:neg.log10.corr.significance	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-10k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-10k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.sites.shades-100k	SE_by_ChipSeq_TUMOR:site-vs-nosite:num.not.sites.shades-100k
AHR_HUMAN		1	615	0	1	1195	3	1193	Infinity	3	100	0	0	206	0	206	1.45	19	6658	0	25	12697	24	12693	3.54	7	365	0	1	743	4	739	1.87	18	520	0	18	972	16	974	1.41	7	159	0	2	330	10	321
ALX4_HUMAN		0	616	0	0	1196	0	1196		0	103	0	0	206	0	206		1	6676	0	4	12718	1	12716		0	372	0	0	744	0	743	0.0	0	538	0	2	988	1	989		0	166	0	0	332	0	331
ANDR_HUMAN	1.55	205	411	1.64	291	905	289	907	2.75	66	37	1.65	81	125	69	137	1.36	1534	5143	12.81	2295	10427	2214	10503	1.37	208	164	0	315	429	357	386	2.02	509	29	0.4	888	102	881	109	4.83	163	3	0	303	29	304	27
AP2A_HUMAN	2.07	97	519	3.09	99	1097	91	1105	6.74	53	50	8.89	28	178	23	183	1.2	541	6136	0.25	871	11851	815	11902	2.45	137	235	6.87	143	601	126	617	1.38	340	198	0	549	441	504	486	2.56	126	40	2.65	183	149	173	158
AP2C_HUMAN	1.96	97	519	2.34	104	1092	102	1094	5.4	59	44	7.45	41	165	31	175	1.15	601	6076	0	1008	11714	922	11795	2.84	165	207	10.98	163	581	143	600	1.58	372	166	1.7	580	410	552	438	3.74	140	26	5.71	196	136	192	139
ARNT2_HUMAN	3.43	7	609	0	3	1193	4	1192	Infinity	4	99	0	0	206	0	206	0.62	14	6663	0	43	12679	43	12674	1.17	7	365	0	9	735	12	731	1.16	22	516	0	35	955	34	956	1.57	10	156	0	11	321	13	318
ARNT_HUMAN	2.27	15	601	0	7	1189	13	1183	7.28	10	93	0.31	1	205	3	203	1.41	117	6560	0	150	12572	159	12558	4.26	41	331	4.48	15	729	21	722	1.51	97	441	0	126	864	108	882	2.86	43	123	2.0	31	301	36	295
ASCL1_HUMAN	1.81	52	564	0	40	1156	58	1138	2.14	21	82	0	17	189	22	184	1.32	387	6290	1.74	544	12178	566	12151	1.64	77	295	0	102	642	91	652	1.35	242	296	0	374	616	365	625	1.75	93	73	0	140	192	134	197
ASCL2_HUMAN	1.95	5	611	0	5	1191	3	1193	6.31	6	97	0	2	204	1	205	1.16	28	6649	0	39	12683	46	12671	2.02	7	365	0	4	740	7	736	1.79	35	503	0	32	958	37	953	1.21	9	157	0	15	317	10	321
ATF1_HUMAN	3.95	14	602	0.07	7	1189	5	1191	6.15	3	100	0	0	206	1	205	0.95	42	6635	0	84	12638	86	12631		3	369	0	8	736	5	738	1.09	40	498	0	64	926	68	922	1.7	10	156	0	12	320	12	319
ATF2_HUMAN	3.81	41	575	3.79	22	1174	13	1183	2.93	7	96	0	5	201	0	206	2.73	313	6364	26.69	225	12497	186	12531	1.17	14	358	0	22	722	24	719	2.9	200	338	14.62	168	822	132	858	1.02	21	145	0	25	307	41	290
ATF3_HUMAN	2.53	67	549	3.46	55	1141	38	1158	3.46	22	81	0.62	15	191	12	194	1.43	340	6337	3.31	460	12262	443	12274	2.59	75	297	3.98	66	678	63	680	1.86	255	283	5.21	315	675	323	667	1.96	78	88	0.55	103	229	103	228
ATF4_HUMAN	1.15	41	575	0	48	1148	70	1126	1.1	13	90	0	24	182	17	189	1.06	354	6323	0	639	12083	631	12086	1.13	66	306	0	119	625	107	636	1.09	260	278	0	443	547	458	532	1.12	81	85	0	146	186	152	179
