TF	promoter:CellLine047:site-vs-nosite:odds.ratio	promoter:CellLine047:site-vs-nosite:num.sites	promoter:CellLine047:site-vs-nosite:num.not.sites	promoter:CellLine047:site-vs-nosite:neg.log10.corr.significance	promoter:CellLine047:site-vs-nosite:num.sites.shades-10k	promoter:CellLine047:site-vs-nosite:num.not.sites.shades-10k	promoter:CellLine047:site-vs-nosite:num.sites.shades-100k	promoter:CellLine047:site-vs-nosite:num.not.sites.shades-100k	promoter:CellLine090:site-vs-nosite:odds.ratio	promoter:CellLine090:site-vs-nosite:num.sites	promoter:CellLine090:site-vs-nosite:num.not.sites	promoter:CellLine090:site-vs-nosite:neg.log10.corr.significance	promoter:CellLine090:site-vs-nosite:num.sites.shades-10k	promoter:CellLine090:site-vs-nosite:num.not.sites.shades-10k	promoter:CellLine090:site-vs-nosite:num.sites.shades-100k	promoter:CellLine090:site-vs-nosite:num.not.sites.shades-100k	promoter:CellLine:site-vs-nosite:odds.ratio	promoter:CellLine:site-vs-nosite:num.sites	promoter:CellLine:site-vs-nosite:num.not.sites	promoter:CellLine:site-vs-nosite:neg.log10.corr.significance	promoter:CellLine:site-vs-nosite:num.sites.shades-10k	promoter:CellLine:site-vs-nosite:num.not.sites.shades-10k	promoter:CellLine:site-vs-nosite:num.sites.shades-100k	promoter:CellLine:site-vs-nosite:num.not.sites.shades-100k	promoter:tumor:site-vs-nosite:odds.ratio	promoter:tumor:site-vs-nosite:num.sites	promoter:tumor:site-vs-nosite:num.not.sites	promoter:tumor:site-vs-nosite:neg.log10.corr.significance	promoter:tumor:site-vs-nosite:num.sites.shades-10k	promoter:tumor:site-vs-nosite:num.not.sites.shades-10k	promoter:tumor:site-vs-nosite:num.sites.shades-100k	promoter:tumor:site-vs-nosite:num.not.sites.shades-100k	promoter:UPPP:site-vs-nosite:odds.ratio	promoter:UPPP:site-vs-nosite:num.sites	promoter:UPPP:site-vs-nosite:num.not.sites	promoter:UPPP:site-vs-nosite:neg.log10.corr.significance	promoter:UPPP:site-vs-nosite:num.sites.shades-10k	promoter:UPPP:site-vs-nosite:num.not.sites.shades-10k	promoter:UPPP:site-vs-nosite:num.sites.shades-100k	promoter:UPPP:site-vs-nosite:num.not.sites.shades-100k	enhancer:CellLine047:site-vs-nosite:odds.ratio	enhancer:CellLine047:site-vs-nosite:num.sites	enhancer:CellLine047:site-vs-nosite:num.not.sites	enhancer:CellLine047:site-vs-nosite:neg.log10.corr.significance	enhancer:CellLine047:site-vs-nosite:num.sites.shades-10k	enhancer:CellLine047:site-vs-nosite:num.not.sites.shades-10k	enhancer:CellLine047:site-vs-nosite:num.sites.shades-100k	enhancer:CellLine047:site-vs-nosite:num.not.sites.shades-100k	enhancer:CellLine090:site-vs-nosite:odds.ratio	enhancer:CellLine090:site-vs-nosite:num.sites	enhancer:CellLine090:site-vs-nosite:num.not.sites	enhancer:CellLine090:site-vs-nosite:neg.log10.corr.significance	enhancer:CellLine090:site-vs-nosite:num.sites.shades-10k	enhancer:CellLine090:site-vs-nosite:num.not.sites.shades-10k	enhancer:CellLine090:site-vs-nosite:num.sites.shades-100k	enhancer:CellLine090:site-vs-nosite:num.not.sites.shades-100k	enhancer:CellLine:site-vs-nosite:odds.ratio	enhancer:CellLine:site-vs-nosite:num.sites	enhancer:CellLine:site-vs-nosite:num.not.sites	enhancer:CellLine:site-vs-nosite:neg.log10.corr.significance	enhancer:CellLine:site-vs-nosite:num.sites.shades-10k	enhancer:CellLine:site-vs-nosite:num.not.sites.shades-10k	enhancer:CellLine:site-vs-nosite:num.sites.shades-100k	enhancer:CellLine:site-vs-nosite:num.not.sites.shades-100k	enhancer:tumor:site-vs-nosite:odds.ratio	enhancer:tumor:site-vs-nosite:num.sites	enhancer:tumor:site-vs-nosite:num.not.sites	enhancer:tumor:site-vs-nosite:neg.log10.corr.significance	enhancer:tumor:site-vs-nosite:num.sites.shades-10k	enhancer:tumor:site-vs-nosite:num.not.sites.shades-10k	enhancer:tumor:site-vs-nosite:num.sites.shades-100k	enhancer:tumor:site-vs-nosite:num.not.sites.shades-100k	enhancer:UPPP:site-vs-nosite:odds.ratio	enhancer:UPPP:site-vs-nosite:num.sites	enhancer:UPPP:site-vs-nosite:num.not.sites	enhancer:UPPP:site-vs-nosite:neg.log10.corr.significance	enhancer:UPPP:site-vs-nosite:num.sites.shades-10k	enhancer:UPPP:site-vs-nosite:num.not.sites.shades-10k	enhancer:UPPP:site-vs-nosite:num.sites.shades-100k	enhancer:UPPP:site-vs-nosite:num.not.sites.shades-100k	SE:CellLine047:site-vs-nosite:odds.ratio	SE:CellLine047:site-vs-nosite:num.sites	SE:CellLine047:site-vs-nosite:num.not.sites	SE:CellLine047:site-vs-nosite:neg.log10.corr.significance	SE:CellLine047:site-vs-nosite:num.sites.shades-10k	SE:CellLine047:site-vs-nosite:num.not.sites.shades-10k	SE:CellLine047:site-vs-nosite:num.sites.shades-100k	SE:CellLine047:site-vs-nosite:num.not.sites.shades-100k	SE:CellLine090:site-vs-nosite:odds.ratio	SE:CellLine090:site-vs-nosite:num.sites	SE:CellLine090:site-vs-nosite:num.not.sites	SE:CellLine090:site-vs-nosite:neg.log10.corr.significance	SE:CellLine090:site-vs-nosite:num.sites.shades-10k	SE:CellLine090:site-vs-nosite:num.not.sites.shades-10k	SE:CellLine090:site-vs-nosite:num.sites.shades-100k	SE:CellLine090:site-vs-nosite:num.not.sites.shades-100k	SE:CellLine:site-vs-nosite:odds.ratio	SE:CellLine:site-vs-nosite:num.sites	SE:CellLine:site-vs-nosite:num.not.sites	SE:CellLine:site-vs-nosite:neg.log10.corr.significance	SE:CellLine:site-vs-nosite:num.sites.shades-10k	SE:CellLine:site-vs-nosite:num.not.sites.shades-10k	SE:CellLine:site-vs-nosite:num.sites.shades-100k	SE:CellLine:site-vs-nosite:num.not.sites.shades-100k	SE:tumor:site-vs-nosite:odds.ratio	SE:tumor:site-vs-nosite:num.sites	SE:tumor:site-vs-nosite:num.not.sites	SE:tumor:site-vs-nosite:neg.log10.corr.significance	SE:tumor:site-vs-nosite:num.sites.shades-10k	SE:tumor:site-vs-nosite:num.not.sites.shades-10k	SE:tumor:site-vs-nosite:num.sites.shades-100k	SE:tumor:site-vs-nosite:num.not.sites.shades-100k	SE:UPPP:site-vs-nosite:odds.ratio	SE:UPPP:site-vs-nosite:num.sites	SE:UPPP:site-vs-nosite:num.not.sites	SE:UPPP:site-vs-nosite:neg.log10.corr.significance	SE:UPPP:site-vs-nosite:num.sites.shades-10k	SE:UPPP:site-vs-nosite:num.not.sites.shades-10k	SE:UPPP:site-vs-nosite:num.sites.shades-100k	SE:UPPP:site-vs-nosite:num.not.sites.shades-100k	Transcription factor	HGNC	EntrezGene	UniProt AC
AHR_HUMAN	2.02	53	13740	6.42	26	27560	23	27552	1.94	40	14656	3.68	22	29366	20	29358	1.61	93	28396	7.13	32	33114	30	33104	1.43	100	27864	3.57	46	30168	34	30163	1.43	71	29288	1.96	32	32208	33	32191	2.08	105	28577	16.0	47	57315	38	57313	1.88	47	21077	4.07	22	42218	28	42204	2.0	152	49654	22.55	63	91113	62	91097	1.77	152	62979	15.94	70	100032	49	100022	1.23	47	38506	0	47	56213	25	56217	1.78	53	761	3.3	39	1589	25	1603	1.58	27	683	0	25	1395	18	1402	1.76	80	1444	6.2	48	2620	37	2631	1.49	126	2133	5.37	65	2995	77	2982	1.45	63	1280	1.37	35	1611	34	1612	AHR	348	196	P35869
ALX4_HUMAN	1.5	3	13790	0	3	27583	1	27574		0	14696	0	1	29387	0	29378	1.08	3	28486	0	3	33143	1	33133	1.69	13	27951	0	3	30211	2	30195	1.57	3	29356	0	1	32239	0	32224	1.8	3	28679	0	2	57360	0	57351	1.0	1	21123	0	2	42238	3	42229	1.42	4	49802	0	4	91172	3	91156	1.59	8	63123	0	5	100097	5	100066	1.76	5	38548	0	2	56258	1	56241	1.5	3	811	0	2	1626	3	1625	1.8	3	707	0	1	1419	2	1418	1.5	6	1518	0	3	2665	5	2663	1.89	16	2243	0.46	4	3056	3	3056		2	1341	0	3	1643	2	1644	ALX4	450	60529	Q9H161
ANDR_HUMAN	2.09	5203	8590	1000	4107	23479	3886	23689	2.16	5174	9522	1000	3694	25694	3602	25776	1.71	10377	18112	1000	5060	28086	4827	28307	1.41	10740	17224	1000	7100	23114	6712	23485	1.61	9812	19547	1000	4830	27410	4631	27593	1.57	6729	21953	1000	7302	50060	6540	50811	1.59	4196	16928	225.79	4364	37876	3824	38408	1.54	10925	38881	1000	10782	80394	9588	81571	1.36	13416	49715	1000	13681	86421	12477	87594	1.33	7049	31504	170.74	6585	49675	5788	50454	2.16	777	37	6.24	1437	191	1405	223	2.07	655	55	8.36	1159	261	1137	283	1.99	1432	92	14.29	2284	384	2237	431	2.64	2213	46	17.71	2829	231	2811	248	1.67	1280	63	4.76	1482	164	1470	176	AR	644	367	P10275
AP2A_HUMAN	2.92	4447	9346	1000	1343	26243	1216	26359	2.92	4319	10377	1000	1184	28204	1061	28317	2.18	8766	19723	1000	1688	31458	1526	31608	1.89	8340	19624	1000	2282	27932	2334	27863	2.03	7680	21679	1000	1474	30766	1478	30746	1.99	3073	25609	1000	1822	55540	1528	55823	1.73	1257	19867	110.38	974	41266	828	41404	1.85	4330	45476	1000	2555	88621	2163	88996	1.55	4537	58594	276.53	3253	96849	3058	97013	1.45	2387	36166	112.3	1731	54529	1545	54697	2.56	653	161	40.96	843	785	749	879	1.78	464	246	16.3	633	787	602	818	2.04	1117	407	54.24	1287	1381	1158	1510	1.65	1683	576	40.43	1720	1340	1637	1422	1.3	924	419	6.39	954	692	908	738	TFAP2A	11742	7020	P05549
AP2C_HUMAN	2.89	4847	8946	1000	1687	25899	1490	26085	2.88	4731	9965	1000	1500	27888	1334	28044	2.16	9578	18911	1000	2117	31029	1880	31254	1.88	9183	18781	1000	2833	27381	2769	27428	1.99	8304	21055	1000	1864	30376	1763	30461	2.06	4119	24563	1000	2361	55001	1964	55387	1.77	1757	19367	164.36	1326	40914	1101	41131	1.91	5876	43930	1000	3372	87804	2807	88352	1.61	6316	56815	1000	4232	95870	3816	96255	1.42	3019	35534	123.96	2324	53936	1960	54282	2.8	688	126	41.7	927	701	846	782	1.91	505	205	19.51	695	725	660	760	2.22	1193	331	60.16	1403	1265	1310	1358	1.87	1838	421	53.27	1883	1177	1794	1265	1.38	999	344	9.19	1025	621	971	675	TFAP2C	11744	7022	Q92754
ARNT2_HUMAN	2.84	723	13070	260.05	68	27518	61	27514	2.81	743	13953	260.84	77	29311	54	29324	2.09	1466	27023	1000	97	33049	83	33051	1.95	1338	26626	279.16	127	30087	119	30078	2.02	1373	27986	1000	74	32166	85	32139	1.81	93	28589	8.57	59	57303	61	57290	2.06	80	21044	11.37	37	42203	32	42200	1.88	173	49633	20.91	88	91088	83	91076	1.3	154	62977	1.74	153	99949	111	99960	1.32	96	38457	0.67	83	56177	66	56176	1.55	49	765	0.84	48	1580	43	1585	1.21	28	682	0	42	1378	29	1391	1.37	77	1447	0.46	80	2588	65	2603	1.35	185	2074	3.87	138	2922	145	2914	1.18	82	1261	0	65	1581	74	1572	ARNT2	16876	9915	Q9HBZ2
ARNT_HUMAN	2.71	1129	12664	1000	191	27395	170	27405	2.73	1060	13636	1000	160	29228	145	29233	2.03	2189	26300	1000	243	32903	205	32929	1.85	2047	25917	1000	330	29884	312	29885	1.95	1956	27403	1000	215	32025	179	32045	2.1	624	28058	104.71	278	57084	231	57120	1.92	238	20886	29.93	100	42140	135	42097	2.02	862	48944	137.8	355	90821	338	90821	1.72	908	62223	91.99	462	99640	421	99650	1.55	477	38076	31.44	283	55977	243	55999	2.23	299	515	38.44	205	1423	185	1443	1.67	152	558	8.25	147	1273	113	1307	1.92	451	1073	44.54	302	2366	253	2415	1.68	684	1575	47.85	408	2652	402	2657	1.41	330	1013	9.94	231	1415	207	1439	ARNT	700	405	P27540
ASCL1_HUMAN	2.07	1463	12330	219.16	758	26828	775	26800	2.19	1544	13152	269.49	682	28706	698	28680	1.69	3007	25482	317.35	974	32172	1004	32130	1.45	3185	24779	168.81	1524	28690	1538	28659	1.65	2830	26529	282.86	904	31336	887	31337	1.37	883	27799	24.9	1069	56293	967	56384	1.49	591	20533	26.83	612	41628	563	41669	1.39	1474	48332	48.75	1556	89620	1425	89734	1.31	2093	61038	50.4	2065	98037	1915	98156	1.32	1270	37283	32.53	1117	55143	954	55288	1.31	384	430	2.98	606	1022	553	1075	1.43	317	393	5.61	451	969	420	1000	1.36	701	823	10.73	912	1756	839	1829	1.28	1185	1074	11.05	1282	1778	1273	1786	1.28	683	660	6.12	656	990	655	991	ASCL1	738	429	P50553
ASCL2_HUMAN	2.78	607	13186	208.02	68	27518	60	27515	2.83	631	14065	228.94	56	29332	51	29327	2.08	1238	27251	308.93	81	33065	72	33062	1.9	1140	26824	219.18	132	30082	113	30084	1.99	1116	28243	252.64	85	32155	65	32159	1.73	97	28585	7.39	71	57291	50	57301	2.08	96	21028	14.34	43	42197	33	42199	1.83	193	49613	21.39	106	91070	75	91084	1.43	204	62927	7.32	165	99937	119	99952	1.44	120	38433	3.91	85	56175	74	56168	1.65	68	746	2.99	60	1568	54	1574	1.43	44	666	0	50	1370	39	1381	1.51	112	1412	4.14	97	2571	79	2589	1.42	234	2025	8.22	165	2895	146	2913	1.3	115	1228	0.93	86	1560	83	1563	ASCL2	739	430	Q99929
ATF1_HUMAN	2.96	1258	12535	1000	99	27487	90	27485	2.9	1221	13475	1000	113	29275	89	29289	2.15	2479	26010	1000	140	33006	132	33002	1.98	2166	25798	1000	199	30015	168	30029	2.08	2458	26901	1000	129	32111	105	32119	2.04	242	28440	36.57	116	57246	90	57261	1.82	108	21016	10.46	70	42170	60	42172	1.92	350	49456	46.62	169	91007	131	91028	1.59	318	62813	22.22	200	99902	183	99888	1.57	250	38303	16.99	142	56118	118	56124	1.39	72	742	0.34	87	1541	77	1551	1.47	55	655	0.41	60	1360	53	1367	1.4	127	1397	2.49	129	2539	115	2553	1.31	290	1969	4.94	238	2822	249	2810	1.12	131	1212	0	133	1513	128	1518	ATF1	783	466	P18846
ATF2_HUMAN	2.82	1536	12257	1000	222	27364	205	27370	2.84	1519	13177	1000	199	29189	196	29182	2.1	3055	25434	1000	278	32868	272	32862	1.9	2829	25135	1000	422	29792	369	29828	2.02	3062	26297	1000	296	31944	274	31950	1.9	427	28255	52.79	252	57110	242	57109	1.77	213	20911	19.79	150	42090	137	42095	1.8	640	49166	69.51	373	90803	341	90818	1.56	737	62394	49.18	487	99615	446	99625	1.79	881	37672	106.61	344	55916	254	55988	1.73	221	593	13.8	212	1416	176	1452	1.44	123	587	2.48	147	1273	137	1283	1.56	344	1180	15.95	317	2351	275	2393	1.36	577	1682	13.77	483	2577	494	2565	1.69	519	824	34.34	291	1355	238	1408	ATF2	784	1386	P15336
ATF3_HUMAN	3.03	3304	10489	1000	589	26997	550	27025	3.05	3275	11421	1000	512	28876	493	28885	2.23	6579	21910	1000	739	32407	685	32449	1.96	6127	21837	1000	1149	29065	1050	29147	2.12	6149	23210	1000	700	31540	651	31573	2.14	1824	26858	310.69	827	56535	739	56612	1.86	682	20442	78.67	432	41808	392	41840	1.99	2506	47300	1000	1159	90017	1026	90133	1.67	2701	60430	238.39	1547	98555	1409	98662	1.54	1374	37179	87.1	855	55405	708	55534	2.08	503	311	33.67	565	1063	496	1132	1.48	298	412	6.91	401	1019	350	1070	1.72	801	723	37.21	842	1826	741	1927	1.65	1345	914	51.14	1165	1895	1154	1905	1.41	694	649	14.36	592	1054	594	1052	ATF3	785	467	P18847
ATF4_HUMAN	1.79	895	12898	87.11	650	26936	625	26950	1.66	704	13992	52.12	594	28794	531	28847	1.45	1599	26890	85.59	823	32323	778	32356	1.25	1928	26036	37.09	1318	28896	1241	28956	1.4	1528	27831	68.11	743	31497	796	31428	1.5	1018	27664	48.35	1047	56315	1048	56303	1.29	477	20647	7.88	638	41602	558	41674	1.39	1495	48311	49.29	1580	89596	1500	89659	1.27	2025	61106	38.63	2112	97990	2074	97997	1.15	793	37760	3.52	911	55349	866	55376	1.29	371	443	2.48	572	1056	589	1039	1.25	286	424	0.79	461	959	416	1004	1.23	657	867	3.66	941	1727	896	1772	1.13	1180	1079	1.52	1431	1629	1417	1642	1.09	644	699	0	703	943	727	919	ATF4	786	468	P18848
ATF6A_HUMAN	2.75	291	13502	99.33	31	27555	28	27547	2.68	286	14410	91.54	38	29350	29	29349	2.04	577	27912	139.61	40	33106	37	33097	1.9	558	27406	110.13	58	30156	52	30145	1.94	575	28784	119.82	54	32186	30	32194	1.8	33	28649	1.57	18	57344	22	57329	1.67	25	21099	0.06	20	42220	17	42215	1.73	58	49748	3.8	37	91139	34	91125	1.28	62	63069	0	63	100039	55	100016	1.41	46	38507	0	33	56227	34	56208	1.41	28	786	0	32	1596	29	1599	1.37	20	690	0	24	1396	15	1405	1.43	48	1476	0	45	2623	38	2630	1.32	106	2153	1.04	85	2975	69	2990	1.29	53	1290	0	39	1607	39	1607	ATF6	791	22926	P18850
ATF7_HUMAN	3.0	4	13789	0	0	27586	0	27575	3.0	3	14693	0	0	29388	0	29378	2.16	7	28482	0	0	33146	0	33134	2.08	9	27955	0.29	0	30214	0	30197	2.1	5	29354	0	0	32240	0	32224		0	28682	0	0	57362	1	57350		0	21124	0	0	42240	0	42232		0	49806	0	0	91176	1	91158	0.0	0	63131	0	2	100100	1	100070		0	38553	0	0	56260	0	56242	1.5	1	813	0	0	1628	1	1627		0	710	0	0	1420	0	1420	1.38	1	1523	0	0	2668	1	2667	1.57	2	2257	0	0	3060	1	3058	1.11	1	1342	0	0	1646	1	1645	ATF7	792	11016	P17544
